area,pm10,pm25,no2,ozone,aqi_index,historical_pollution_impact,mask_compliance_factor,pollution_risk_probability
Indiranagar,41.32768625996051,35.038552185445575,25.3,47.0,36.17372675216639,0.7416664813802276,0.8614553219572194,0.38729192674591906
Indiranagar,48.72075362125324,49.58272859228589,27.1,48.0,44.66931752329033,0.7362707990829731,0.6886201071625289,0.35135938742356415
Indiranagar,65.83121375305714,58.36890527652984,29.2,51.0,54.03692623652908,0.7860131680092768,0.4904836930420631,0.43629675616752783
Indiranagar,48.32508341808457,35.80441002756572,28.3,63.0,40.77928903645166,0.5811946460103076,0.533584326231279,0.23696885195336398
Indiranagar,32.45840385476147,29.02893516698942,21.5,93.0,34.94909522322421,0.3597507712341205,0.54941873999215,0.214457843869471
Indiranagar,37.59819833012813,30.08748036380755,11.6,133.0,38.93445164456146,0.3330171439304952,0.7731551648827373,0.15302255523670505
Indiranagar,30.77660721439152,26.511960912277146,4.4,165.0,37.217766529228314,0.2730757642024735,0.32976012229180274,0.16417967223942592
Indiranagar,33.86811899796307,30.446378815870045,2.2,181.0,40.87898722573694,0.519989618117463,0.5612719736067072,0.2967370143095015
Indiranagar,26.695444055486337,23.80834764208605,2.6,188.0,36.85197227348032,0.387174555745188,0.5086611356935989,0.25257050630678934
Indiranagar,37.27428466228104,28.975896662405503,3.8,191.0,42.632644063646524,0.5437882246387675,0.8083761749408214,0.2972351695615872
Indiranagar,34.159197185426116,31.029203167278336,1.6,194.0,42.379440422539176,0.5659876884409258,0.6085298889563434,0.362450471714193
Indiranagar,27.719844546808446,27.461260882972635,0.2,192.0,38.54045771723159,0.32483051930198237,0.7830582318879098,0.11152800065312478
Indiranagar,32.629122008040106,30.505093960897188,10.8,174.0,41.55077418677091,0.4395005566854756,0.32620630411370755,0.2373996147000941
Indiranagar,35.06078934428429,34.02776633174318,47.8,125.0,46.18934333598256,0.40272323341009375,0.4057536007613388,0.19377608845378314
Indiranagar,57.146566002729706,53.67404393194078,96.8,60.0,63.97358737359522,0.38242221308092444,0.8097052390864456,0.226145986101961
Indiranagar,70.32431164375917,67.99423277561024,125.5,17.0,75.09498660337185,0.23253883011753865,0.6989204955368764,0.2086541382429227
